variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
H0_A20_BASE,upper_a,a_forward,raw_offending,1.623233039e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,1.623233039e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.616815761e-01,,,,,,,20,19,0,5.368421053e+00,1.000000000e+01,8.000000000e-01,1.616815761e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.626851724e-01,,,,,,,20,19,1,5.368421053e+00,1.000000000e+01,1.300000000e+00,1.626851724e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.625759455e-01,,,,,,,21,19,0,5.736842105e+00,1.000000000e+01,8.000000000e-01,1.625759455e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.625249469e-01,,,,,,,21,19,1,5.736842105e+00,1.000000000e+01,1.300000000e+00,1.625249469e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.628805713e-01,,,,,,,22,19,0,6.105263158e+00,1.000000000e+01,8.000000000e-01,1.628805713e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.619007201e-01,,,,,,,22,19,1,6.105263158e+00,1.000000000e+01,1.300000000e+00,1.619007201e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.626626112e-01,,,,,,,23,19,0,6.473684211e+00,1.000000000e+01,8.000000000e-01,1.626626112e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.608643524e-01,,,,,,,23,19,1,6.473684211e+00,1.000000000e+01,1.300000000e+00,1.608643524e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.619811786e-01,,,,,,,24,19,0,6.842105263e+00,1.000000000e+01,8.000000000e-01,1.619811786e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.594626407e-01,,,,,,,24,19,1,6.842105263e+00,1.000000000e+01,1.300000000e+00,1.594626407e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.608889455e-01,,,,,,,25,19,0,7.210526316e+00,1.000000000e+01,8.000000000e-01,1.608889455e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.577382049e-01,,,,,,,25,19,1,7.210526316e+00,1.000000000e+01,1.300000000e+00,1.577382049e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.594333550e-01,,,,,,,26,19,0,7.578947368e+00,1.000000000e+01,8.000000000e-01,1.594333550e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.557301607e-01,,,,,,,26,19,1,7.578947368e+00,1.000000000e+01,1.300000000e+00,1.557301607e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.576575395e-01,,,,,,,27,19,0,7.947368421e+00,1.000000000e+01,8.000000000e-01,1.576575395e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.534746270e-01,,,,,,,27,19,1,7.947368421e+00,1.000000000e+01,1.300000000e+00,1.534746270e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.556010163e-01,,,,,,,28,19,0,8.315789474e+00,1.000000000e+01,8.000000000e-01,1.556010163e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.510051055e-01,,,,,,,28,19,1,8.315789474e+00,1.000000000e+01,1.300000000e+00,1.510051055e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.533002119e-01,,,,,,,29,19,0,8.684210526e+00,1.000000000e+01,8.000000000e-01,1.533002119e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.483527626e-01,,,,,,,29,19,1,8.684210526e+00,1.000000000e+01,1.300000000e+00,1.483527626e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.507888541e-01,,,,,,,30,19,0,9.052631579e+00,1.000000000e+01,8.000000000e-01,1.507888541e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.455466345e-01,,,,,,,30,19,1,9.052631579e+00,1.000000000e+01,1.300000000e+00,1.455466345e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.480982641e-01,,,,,,,31,19,0,9.421052632e+00,1.000000000e+01,8.000000000e-01,1.480982641e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.426137762e-01,,,,,,,31,19,1,9.421052632e+00,1.000000000e+01,1.300000000e+00,1.426137762e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.452575704e-01,,,,,,,32,19,0,9.789473684e+00,1.000000000e+01,8.000000000e-01,1.452575704e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.395793663e-01,,,,,,,32,19,1,9.789473684e+00,1.000000000e+01,1.300000000e+00,1.395793663e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.422938636e-01,,,,,,,33,19,0,1.015789474e+01,1.000000000e+01,8.000000000e-01,1.422938636e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.364667825e-01,,,,,,,33,19,1,1.015789474e+01,1.000000000e+01,1.300000000e+00,1.364667825e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.392323091e-01,,,,,,,34,19,0,1.052631579e+01,1.000000000e+01,8.000000000e-01,1.392323091e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.332976556e-01,,,,,,,34,19,1,1.052631579e+01,1.000000000e+01,1.300000000e+00,1.332976556e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.360962275e-01,,,,,,,35,19,0,1.089473684e+01,1.000000000e+01,8.000000000e-01,1.360962275e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.300919110e-01,,,,,,,35,19,1,1.089473684e+01,1.000000000e+01,1.300000000e+00,1.300919110e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.329071546e-01,,,,,,,36,19,0,1.126315789e+01,1.000000000e+01,8.000000000e-01,1.329071546e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.268678031e-01,,,,,,,36,19,1,1.126315789e+01,1.000000000e+01,1.300000000e+00,1.268678031e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.296848881e-01,,,,,,,37,19,0,1.163157895e+01,1.000000000e+01,8.000000000e-01,1.296848881e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.236419489e-01,,,,,,,37,19,1,1.163157895e+01,1.000000000e+01,1.300000000e+00,1.236419489e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.264475280e-01,,,,,,,38,19,0,1.200000000e+01,1.000000000e+01,8.000000000e-01,1.264475280e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.204293627e-01,,,,,,,38,19,1,1.200000000e+01,1.000000000e+01,1.300000000e+00,1.204293627e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.232115140e-01,,,,,,,39,19,0,1.236842105e+01,1.000000000e+01,8.000000000e-01,1.232115140e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.172434954e-01,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,1.172434954e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.199916655e-01,,,,,,,40,19,0,1.273684211e+01,1.000000000e+01,8.000000000e-01,1.199916655e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.140962788e-01,,,,,,,40,19,1,1.273684211e+01,1.000000000e+01,1.300000000e+00,1.140962788e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.168012238e-01,,,,,,,41,19,0,1.310526316e+01,1.000000000e+01,8.000000000e-01,1.168012238e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.109981743e-01,,,,,,,41,19,1,1.310526316e+01,1.000000000e+01,1.300000000e+00,1.109981743e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.136518988e-01,,,,,,,42,19,0,1.347368421e+01,1.000000000e+01,8.000000000e-01,1.136518988e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.079582240e-01,,,,,,,42,19,1,1.347368421e+01,1.000000000e+01,1.300000000e+00,1.079582240e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.105539168e-01,,,,,,,43,19,0,1.384210526e+01,1.000000000e+01,8.000000000e-01,1.105539168e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.049840964e-01,,,,,,,43,19,1,1.384210526e+01,1.000000000e+01,1.300000000e+00,1.049840964e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.075160648e-01,,,,,,,44,19,0,1.421052632e+01,1.000000000e+01,8.000000000e-01,1.075160648e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.020821146e-01,,,,,,,44,19,1,1.421052632e+01,1.000000000e+01,1.300000000e+00,1.020821146e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,1.045457183e-01,,,,,,,45,19,0,1.457894737e+01,1.000000000e+01,8.000000000e-01,1.045457183e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,9.925723812e-02,,,,,,,45,19,1,1.457894737e+01,1.000000000e+01,1.300000000e+00,9.925723812e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,1.016488278e-01,,,,,,,46,19,0,1.494736842e+01,1.000000000e+01,8.000000000e-01,1.016488278e-01
H0_A20_BASE,upper_a,a_forward,raw_offending,9.651294171e-02,,,,,,,46,19,1,1.494736842e+01,1.000000000e+01,1.300000000e+00,9.651294171e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,9.882981022e-02,,,,,,,47,19,0,1.531578947e+01,1.000000000e+01,8.000000000e-01,9.882981022e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,9.385087515e-02,,,,,,,47,19,1,1.531578947e+01,1.000000000e+01,1.300000000e+00,9.385087515e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,9.609123756e-02,,,,,,,48,19,0,1.568421053e+01,1.000000000e+01,8.000000000e-01,9.609123756e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,9.127006231e-02,,,,,,,48,19,1,1.568421053e+01,1.000000000e+01,1.300000000e+00,9.127006231e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,9.343309730e-02,,,,,,,49,19,0,1.605263158e+01,1.000000000e+01,8.000000000e-01,9.343309730e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,8.876514429e-02,,,,,,,49,19,1,1.605263158e+01,1.000000000e+01,1.300000000e+00,8.876514429e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,9.085116200e-02,,,,,,,50,19,0,1.642105263e+01,1.000000000e+01,8.000000000e-01,9.085116200e-02
