iter,w1,w2,ra1,ra2,wbar1,wbar2,C1,L1,A1,B1,C1tot,L1tot,A1tot,B1tot,C2,L2,A2,B2,C2tot,L2tot,A2tot,B2tot,hjb_it1,hjb_stat1,kfe_mass1,kfe_mind1,bm_bmin1,bm_bmax1,bm_amin1,bm_amax1,hjb_it2,hjb_stat2,kfe_mass2,kfe_mind2,bm_bmin2,bm_bmax2,bm_amin2,bm_amax2,F11,F12,F21,F22,Ldest1,Ldest2,K1,K2,Y1,Y2,what1,what2,rhat1,rhat2,Rw,Rra,gamma_hat_w1,gamma_hat_w2,gamma_hat_ra1,gamma_hat_ra2,P11,P12,P21,P22,lambda,gamma_next_w1,gamma_next_w2,gamma_next_ra1,gamma_next_ra2,stop_reason
0,0.99,1.01,0.0295,0.0305,0.992,1.008,1.05101538459979,0.9955261405110774,8.9612748377257,0.7763621446607144,1.05101538459979,0.9955261405110774,8.9612748377257,0.7763621446607144,1.0656639359653375,0.9894223769784308,8.956156267555613,0.8184256764199859,1.0656639359653375,0.9894223769784308,8.956156267555613,0.8184256764199859,11,1.657707571212086e-08,1.1102230246251565e-16,-5.845948473372372e-20,2.5066642893501346e-06,6.329580847845214e-05,0.0,0.1964336922211795,11,1.6939139868554776e-08,1.1102230246251565e-16,-0.0,1.375409966948314e-06,1.7912431983257213e-06,0.0,0.19641657487502084,0.8959735264599696,0.09955261405110774,0.09894223769784309,0.8904801392805878,0.9949157641578127,0.9900327533316955,8.9612748377257,8.956156267555613,1.4913060395838313,1.4861394591272956,0.9992846250966843,1.0007342040796687,0.03007933851205103,0.02991875009939822,0.009334704947460387,0.0005812499006017796,0.9992846250966843,1.0007342040796687,0.03007933851205103,0.02991875009939822,0.9,0.1,0.1,0.9,0.5,0.9946423125483421,1.0053671020398345,0.029789669256025515,0.03020937504969911,
1,0.9946423125483421,1.0053671020398345,0.029789669256025515,0.03020937504969911,0.9957147914974914,1.0042946230906853,1.0545083596610085,0.9938479919453007,8.959747049239162,0.7869005589309075,1.0545083596610085,0.9938479919453007,8.959747049239162,0.7869005589309075,1.062082341319498,0.9911358677442574,8.957467257002701,0.8044828460296536,1.062082341319498,0.9911358677442574,8.957467257002701,0.8044828460296536,11,1.6356523246940924e-08,1.1102230246251565e-16,-0.0,2.196082284092733e-06,2.940958988522757e-05,0.0,0.1962860817821953,11,1.6936056113081577e-08,2.220446049250313e-16,-0.0,1.7366362847672024e-06,7.552325525116652e-06,0.0,0.19624672608763777,0.8944631927507707,0.09938479919453008,0.09911358677442575,0.8920222809698317,0.9935767795251964,0.9914070801643617,8.959747049239162,8.957467257002701,1.4898830339120621,1.48758705353919,0.9996764984946859,1.0003203751531062,0.030035856774455284,0.02996452402898383,0.005048537486545927,0.00024618751842976974,0.9996764984946859,1.0003203751531062,0.030035856774455284,0.02996452402898383,0.9,0.1,0.1,0.9,0.5,0.997159405521514,1.0028437385964704,0.0299127630152404,0.03008694953934147,
2,0.997159405521514,1.0028437385964704,0.0299127630152404,0.03008694953934147,0.9977278388290097,1.0022753052889748,1.056335353055082,0.9931008082263348,8.959270774335875,0.7916512722956153,1.056335353055082,0.9931008082263348,8.959270774335875,0.7916512722956153,1.0602337175148162,0.9918936456861581,8.958139497634036,0.7989925648430859,1.0602337175148162,0.9918936456861581,8.958139497634036,0.7989925648430859,11,1.6616809261904564e-08,1.1102230246251565e-16,-0.0,2.0572806036424773e-06,2.018683839309722e-05,0.0,0.19642557195261603,11,1.680465544495746e-08,2.220446049250313e-16,-0.0,1.8829748015662504e-06,1.1927441966267128e-05,0.0,0.19627981871654993,0.8937907274037014,0.09931008082263348,0.09918936456861582,0.8927042811175423,0.9929800919723172,0.9920143619401758,8.959270774335875,8.958139497634036,1.4892600904439204,1.4882316956484218,0.9998589783647203,1.0001412296341807,0.030015626501312953,0.029984357074739974,0.0027036050437607806,0.00010286348607255191,0.9998589783647203,1.0001412296341807,0.030015626501312953,0.029984357074739974,0.9,0.1,0.1,0.9,0.5,0.9985091919431172,1.0014924841153254,0.029964194758276677,0.03003565330704072,
3,0.9985091919431172,1.0014924841153254,0.029964194758276677,0.03003565330704072,0.998807521160338,1.0011941548981047,nan,nan,nan,nan,nan,nan,nan,nan,1.0592817034273334,0.9922292310805108,8.958459804926893,0.7967574507645179,1.0592817034273334,0.9922292310805108,8.958459804926893,0.7967574507645179,-1,nan,nan,nan,nan,nan,nan,nan,11,1.674222005476622e-08,2.220446049250313e-16,-0.0,1.9385907878446347e-06,1.41031697839377e-05,0.0,0.19631630564873412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,0.1,0.9,0.5,nan,nan,nan,nan,HOUSEHOLD_BLOCK_FAILED:region0:faithful contaminated-row solve is non-finite
