variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
J2_A77_B160,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,upper_b,b_forward,raw,0.000000000e+00,0,0.000000000e+00,"(159, 0, 0)","(56.578947368421055, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,upper_b,b_forward,requested,0.000000000e+00,0,0.000000000e+00,"(159, 0, 0)","(56.578947368421055, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J2_A77_B160,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J3_A153_B120,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J3_A153_B120,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J3_A153_B120,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J3_A153_B120,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J3_A153_B120,upper_b,b_forward,raw,6.362594624e-02,6,1.960784314e-02,"(119, 152, 1)","(41.84210526315789, 10.0, 1.3)",6.362594624e-02,0.038656972493102626/0.05989340027678103/0.06175967326044751/0.0632526916473807,,,,,,,
J3_A153_B120,upper_b,b_forward,requested,1.726989969e-01,6,1.960784314e-02,"(119, 152, 1)","(41.84210526315789, 10.0, 1.3)",1.726989969e-01,0.10492606819556427/0.16256780075126276/0.1676333988497861/0.17168587732860474,,,,,,,
J3_A153_B120,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J3_A153_B120,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J3_A153_B120,upper_b,b_forward,raw_offending,4.353314391e-03,,,,,,,119,147,1,4.184210526e+01,9.671052632e+00,1.300000000e+00,4.353314391e-03
J3_A153_B120,upper_b,b_forward,raw_offending,1.847327678e-02,,,,,,,119,148,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,1.847327678e-02
J3_A153_B120,upper_b,b_forward,raw_offending,3.221944759e-02,,,,,,,119,149,1,4.184210526e+01,9.802631579e+00,1.300000000e+00,3.221944759e-02
J3_A153_B120,upper_b,b_forward,raw_offending,4.509449740e-02,,,,,,,119,150,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,4.509449740e-02
J3_A153_B120,upper_b,b_forward,raw_offending,5.616085431e-02,,,,,,,119,151,1,4.184210526e+01,9.934210526e+00,1.300000000e+00,5.616085431e-02
J3_A153_B120,upper_b,b_forward,raw_offending,6.362594624e-02,,,,,,,119,152,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,6.362594624e-02
J3_A153_B120,upper_b,b_forward,requested_offending,1.181613906e-02,,,,,,,119,147,1,4.184210526e+01,9.671052632e+00,1.300000000e+00,1.181613906e-02
J3_A153_B120,upper_b,b_forward,requested_offending,5.014175125e-02,,,,,,,119,148,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,5.014175125e-02
J3_A153_B120,upper_b,b_forward,requested_offending,8.745278631e-02,,,,,,,119,149,1,4.184210526e+01,9.802631579e+00,1.300000000e+00,8.745278631e-02
J3_A153_B120,upper_b,b_forward,requested_offending,1.223993501e-01,,,,,,,119,150,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,1.223993501e-01
J3_A153_B120,upper_b,b_forward,requested_offending,1.524366046e-01,,,,,,,119,151,1,4.184210526e+01,9.934210526e+00,1.300000000e+00,1.524366046e-01
J3_A153_B120,upper_b,b_forward,requested_offending,1.726989969e-01,,,,,,,119,152,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,1.726989969e-01
J4_A153_B140,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J4_A153_B140,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J4_A153_B140,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J4_A153_B140,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J4_A153_B140,upper_b,b_forward,raw,3.844034001e-02,4,1.307189542e-02,"(139, 152, 1)","(49.21052631578947, 10.0, 1.3)",3.844034001e-02,0.02548526461352396/0.03620870356237982/0.03732452178496265/0.03821717636302891,,,,,,,
J4_A153_B140,upper_b,b_forward,requested,1.043380657e-01,4,1.307189542e-02,"(139, 152, 1)","(49.21052631578947, 10.0, 1.3)",1.043380657e-01,0.06917428966527932/0.09828076681217378/0.10130941627347004/0.10373233584250705,,,,,,,
J4_A153_B140,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J4_A153_B140,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J4_A153_B140,upper_b,b_forward,raw_offending,7.126612376e-03,,,,,,,139,149,1,4.921052632e+01,9.802631579e+00,1.300000000e+00,7.126612376e-03
J4_A153_B140,upper_b,b_forward,raw_offending,1.996897737e-02,,,,,,,139,150,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,1.996897737e-02
J4_A153_B140,upper_b,b_forward,raw_offending,3.100155186e-02,,,,,,,139,151,1,4.921052632e+01,9.934210526e+00,1.300000000e+00,3.100155186e-02
J4_A153_B140,upper_b,b_forward,raw_offending,3.844034001e-02,,,,,,,139,152,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,3.844034001e-02
J4_A153_B140,upper_b,b_forward,requested_offending,1.934366216e-02,,,,,,,139,149,1,4.921052632e+01,9.802631579e+00,1.300000000e+00,1.934366216e-02
