variant,a_res,b_ext,a_pts,a_lo,a_hi,da,b_pts,b_lo,b_hi,db,hjb_converged,hjb_iterations,hjb_statistic,max_raw_upper_a,max_raw_lower_a,max_raw_upper_b,max_raw_lower_b,joint_marker,variant_terminal
J0_A77_B120,a77,b120,77,0.000000000e+00,1.000000000e+01,1.315789474e-01,120,-2.000000000e+00,4.184210526e+01,3.684210526e-01,True,10,6.566175159e-08,0.000000000e+00,0.000000000e+00,4.291614197e-02,0.000000000e+00,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,HJB_CONVERGED
J1_A77_B140,a77,b140,77,0.000000000e+00,1.000000000e+01,1.315789474e-01,140,-2.000000000e+00,4.921052632e+01,3.684210526e-01,True,10,6.566185817e-08,0.000000000e+00,0.000000000e+00,1.758505363e-02,0.000000000e+00,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,HJB_CONVERGED
J2_A77_B160,a77,b160,77,0.000000000e+00,1.000000000e+01,1.315789474e-01,160,-2.000000000e+00,5.657894737e+01,3.684210526e-01,True,10,6.566180133e-08,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,JOINT_HJB_BOUNDARY_POLICY_COMPATIBLE,HJB_CONVERGED
J3_A153_B120,a153,b120,153,0.000000000e+00,1.000000000e+01,6.578947368e-02,120,-2.000000000e+00,4.184210526e+01,3.684210526e-01,True,10,2.057089432e-08,0.000000000e+00,0.000000000e+00,6.362594624e-02,0.000000000e+00,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,HJB_CONVERGED
J4_A153_B140,a153,b140,153,0.000000000e+00,1.000000000e+01,6.578947368e-02,140,-2.000000000e+00,4.921052632e+01,3.684210526e-01,True,10,2.059847759e-08,0.000000000e+00,0.000000000e+00,3.844034001e-02,0.000000000e+00,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,HJB_CONVERGED
J5_A153_B160,a153,b160,153,0.000000000e+00,1.000000000e+01,6.578947368e-02,160,-2.000000000e+00,5.657894737e+01,3.684210526e-01,True,10,2.059856286e-08,0.000000000e+00,0.000000000e+00,1.491625647e-02,0.000000000e+00,JOINT_HJB_BOUNDARY_POLICY_NOT_COMPATIBLE,HJB_CONVERGED
