evaluation,capital,capital_residual,stage
0,0.5,-49.5,primary_bracket_endpoint
1,45.0,35.365079662198205,primary_bracket_endpoint
2,0.5,-49.5,brentq
3,45.0,35.365079662198205,brentq
4,26.455905641848823,-4.427873586545953,brentq
5,28.51935906491098,5.250531542329071,brentq
6,27.399936273691857,0.15407486846121898,brentq
7,27.36819183203066,0.0017689464743568806,brentq
8,27.36782328566927,-9.174398734046463e-07,brentq
9,27.367823476711713,1.0466294497746276e-11,brentq_root
10,27.367823476661577,-2.312248170710518e-10,brentq
