variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
G0_BASE,upper_a,a_forward,offending,2.634259008e-01,,,,,,,13,19,1,2.789473684e+00,1.000000000e+01,1.300000000e+00,2.634259008e-01
G0_BASE,upper_a,a_forward,offending,2.533455404e-01,,,,,,,14,19,0,3.157894737e+00,1.000000000e+01,8.000000000e-01,2.533455404e-01
G0_BASE,upper_a,a_forward,offending,2.640718827e-01,,,,,,,14,19,1,3.157894737e+00,1.000000000e+01,1.300000000e+00,2.640718827e-01
G0_BASE,upper_a,a_forward,offending,2.580826964e-01,,,,,,,15,19,0,3.526315789e+00,1.000000000e+01,8.000000000e-01,2.580826964e-01
G0_BASE,upper_a,a_forward,offending,2.546689128e-01,,,,,,,15,19,1,3.526315789e+00,1.000000000e+01,1.300000000e+00,2.546689128e-01
G0_BASE,upper_a,a_forward,offending,2.537143916e-01,,,,,,,16,19,0,3.894736842e+00,1.000000000e+01,8.000000000e-01,2.537143916e-01
G0_BASE,upper_a,a_forward,offending,2.305539903e-01,,,,,,,16,19,1,3.894736842e+00,1.000000000e+01,1.300000000e+00,2.305539903e-01
G0_BASE,upper_a,a_forward,offending,2.352871698e-01,,,,,,,17,19,0,4.263157895e+00,1.000000000e+01,8.000000000e-01,2.352871698e-01
G0_BASE,upper_a,a_forward,offending,1.867536785e-01,,,,,,,17,19,1,4.263157895e+00,1.000000000e+01,1.300000000e+00,1.867536785e-01
G0_BASE,upper_a,a_forward,offending,1.907037702e-01,,,,,,,18,19,0,4.631578947e+00,1.000000000e+01,8.000000000e-01,1.907037702e-01
G0_BASE,upper_a,a_forward,offending,1.206860239e-01,,,,,,,18,19,1,4.631578947e+00,1.000000000e+01,1.300000000e+00,1.206860239e-01
G0_BASE,upper_a,a_forward,offending,8.783338931e-02,,,,,,,19,19,0,5.000000000e+00,1.000000000e+01,8.000000000e-01,8.783338931e-02
G0_BASE,upper_a,a_forward,offending,3.635781425e-02,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.635781425e-02
