variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
I4_A153_B80,upper_b,b_forward,raw_offending,1.236431349e-01,,,,,,,79,152,1,2.710526316e+01,1.000000000e+01,1.300000000e+00,1.236431349e-01
I4_A153_B80,upper_b,b_forward,requested_offending,2.041704797e-02,,,,,,,79,143,1,2.710526316e+01,9.407894737e+00,1.300000000e+00,2.041704797e-02
I4_A153_B80,upper_b,b_forward,requested_offending,5.817874513e-02,,,,,,,79,144,1,2.710526316e+01,9.473684211e+00,1.300000000e+00,5.817874513e-02
I4_A153_B80,upper_b,b_forward,requested_offending,9.642560308e-02,,,,,,,79,145,1,2.710526316e+01,9.539473684e+00,1.300000000e+00,9.642560308e-02
I4_A153_B80,upper_b,b_forward,requested_offending,1.350308278e-01,,,,,,,79,146,1,2.710526316e+01,9.605263158e+00,1.300000000e+00,1.350308278e-01
I4_A153_B80,upper_b,b_forward,requested_offending,1.737717820e-01,,,,,,,79,147,1,2.710526316e+01,9.671052632e+00,1.300000000e+00,1.737717820e-01
I4_A153_B80,upper_b,b_forward,requested_offending,2.122507758e-01,,,,,,,79,148,1,2.710526316e+01,9.736842105e+00,1.300000000e+00,2.122507758e-01
I4_A153_B80,upper_b,b_forward,requested_offending,2.497429432e-01,,,,,,,79,149,1,2.710526316e+01,9.802631579e+00,1.300000000e+00,2.497429432e-01
I4_A153_B80,upper_b,b_forward,requested_offending,2.848991768e-01,,,,,,,79,150,1,2.710526316e+01,9.868421053e+00,1.300000000e+00,2.848991768e-01
I4_A153_B80,upper_b,b_forward,requested_offending,3.151600900e-01,,,,,,,79,151,1,2.710526316e+01,9.934210526e+00,1.300000000e+00,3.151600900e-01
I4_A153_B80,upper_b,b_forward,requested_offending,3.356027946e-01,,,,,,,79,152,1,2.710526316e+01,1.000000000e+01,1.300000000e+00,3.356027946e-01
I5_A153_B100,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
I5_A153_B100,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
