state_id,group,variant,b_index,a_index,z_index,b,a,mu_a,mu_b,mu_W,rectangular_upper_a_condition_mu_a_le_0,rectangular_upper_a_satisfied,rectangular_upper_b_condition_mu_b_le_0,rectangular_upper_b_satisfied,joint_W_condition_mu_W_le_0,joint_W_satisfied,W_s=a+b,active_candidate_constraints_R,active_candidate_constraints_W_symbolic
J4_A153_B140|49.2105263158|152|1,CROSS_A_A153,J4_A153_B140,top,152,1,49.2105263158,10.000000000,-1.886941469e-01,3.844034001e-02,-1.502538069e-01,True,True,False,False,True,True,59.2105263158,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=59.2105263158; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J5_A153_B160|56.5789473684|146|0,CROSS_A_A153,J5_A153_B160,top,146,0,56.5789473684,9.605263158,-9.600020672e-02,-4.243846588e-01,-5.203848655e-01,True,True,True,True,True,True,66.1842105264,upper_b,W activity unresolved (no W_max): W_s=66.1842105264; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J5_A153_B160|56.5789473684|146|1,CROSS_A_A153,J5_A153_B160,top,146,1,56.5789473684,9.605263158,-9.644029773e-02,-5.825323742e-02,-1.546935351e-01,True,True,True,True,True,True,66.1842105264,upper_b,W activity unresolved (no W_max): W_s=66.1842105264; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J5_A153_B160|56.5789473684|148|0,CROSS_A_A153,J5_A153_B160,top,148,0,56.5789473684,9.736842105,-1.303306996e-01,-3.964126390e-01,-5.267433386e-01,True,True,True,True,True,True,66.3157894734,upper_b,W activity unresolved (no W_max): W_s=66.3157894734; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J5_A153_B160|56.5789473684|148|1,CROSS_A_A153,J5_A153_B160,top,148,1,56.5789473684,9.736842105,-1.309686578e-01,-3.000302364e-02,-1.609716814e-01,True,True,True,True,True,True,66.3157894734,upper_b,W activity unresolved (no W_max): W_s=66.3157894734; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J5_A153_B160|56.5789473684|150|0,CROSS_A_A153,J5_A153_B160,top,150,0,56.5789473684,9.868421053,-1.629775515e-01,-3.702828514e-01,-5.332604029e-01,True,True,True,True,True,True,66.4473684214,upper_b,W activity unresolved (no W_max): W_s=66.4473684214; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J5_A153_B160|56.5789473684|150|1,CROSS_A_A153,J5_A153_B160,top,150,1,56.5789473684,9.868421053,-1.639332858e-01,-3.501146757e-03,-1.674344325e-01,True,True,True,True,True,True,66.4473684214,upper_b,W activity unresolved (no W_max): W_s=66.4473684214; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J5_A153_B160|56.5789473684|152|0,CROSS_A_A153,J5_A153_B160,top,152,0,56.5789473684,10.000000000,-1.860377816e-01,-3.523972065e-01,-5.384349881e-01,True,True,True,True,True,True,66.5789473684,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=66.5789473684; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J5_A153_B160|56.5789473684|152|1,CROSS_A_A153,J5_A153_B160,top,152,1,56.5789473684,10.000000000,-1.875122934e-01,1.491625647e-02,-1.725960369e-01,True,True,False,False,True,True,66.5789473684,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=66.5789473684; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J0_A77_B120|41.8421052632|73|0,CROSS_A_A77,J0_A77_B120,top,73,0,41.8421052632,9.605263158,-8.713375003e-02,-4.018398681e-01,-4.889736181e-01,True,True,True,True,True,True,51.4473684212,upper_b,W activity unresolved (no W_max): W_s=51.4473684212; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J0_A77_B120|41.8421052632|73|1,CROSS_A_A77,J0_A77_B120,top,73,1,41.8421052632,9.605263158,-8.839456029e-02,-1.722323717e-02,-1.056177975e-01,True,True,True,True,True,True,51.4473684212,upper_b,W activity unresolved (no W_max): W_s=51.4473684212; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J0_A77_B120|41.8421052632|74|0,CROSS_A_A77,J0_A77_B120,top,74,0,41.8421052632,9.736842105,-1.164343439e-01,-3.779643693e-01,-4.943987132e-01,True,True,True,True,True,True,51.5789473682,upper_b,W activity unresolved (no W_max): W_s=51.5789473682; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J0_A77_B120|41.8421052632|74|1,CROSS_A_A77,J0_A77_B120,top,74,1,41.8421052632,9.736842105,-1.181156894e-01,7.108521285e-03,-1.110071681e-01,True,True,False,False,True,True,51.5789473682,upper_b,W activity unresolved (no W_max): W_s=51.5789473682; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J0_A77_B120|41.8421052632|75|0,CROSS_A_A77,J0_A77_B120,top,75,0,41.8421052632,9.868421053,-1.424415818e-01,-3.572130824e-01,-4.996546642e-01,True,True,True,True,True,True,51.7105263162,upper_b,W activity unresolved (no W_max): W_s=51.7105263162; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J0_A77_B120|41.8421052632|75|1,CROSS_A_A77,J0_A77_B120,top,75,1,41.8421052632,9.868421053,-1.446695049e-01,2.841300610e-02,-1.162564988e-01,True,True,False,False,True,True,51.7105263162,upper_b,W activity unresolved (no W_max): W_s=51.7105263162; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
