metric,value
alpha_near.a_rate_divergent_row_count,0
alpha_near.active_direction_divergent_row_count,0
alpha_near.opposite_direction_component_row_count,4
alpha_near.diagonal_divergent_row_count,4
alpha_near.destination_layout_divergent_row_count,0
alpha_near.omitted_rate_divergent_row_count,0
alpha_near.q_row_divergent_row_count,4
alpha_near.max_b_rate_difference,0.6689705962768726
alpha_near.max_a_rate_difference,0.0
alpha_near.max_diagonal_difference,1.3379411925537443
alpha_near.max_rowwise_q_difference,1.3379411925537439
alpha_near.inconsistent_rows,(452, 453, 482, 483)
alpha_near.inconsistent_row_set_match,True
alpha_near.expected_gap,1.3379411925537439
alpha_near.expected_rows,(452, 453, 482, 483)
alpha_near.gap_reproduced,True
alpha_near.max_decomposition_residual,3.552713678800501e-15
alpha_near.decomposition_closed,True
alpha_near.all_rows_reproduced,True
alpha_near.same_controls_and_utility,True
alpha_near.row452.row,452
alpha_near.row452.node,61
alpha_near.row452.j,1
alpha_near.row452.i,28
alpha_near.row452.z,1
alpha_near.row452.family,F0
alpha_near.row452.sector,B
alpha_near.row452.transfer_label,B
alpha_near.row452.consumption,1.0327171528758883
alpha_near.row452.labor,1.007116936345796
alpha_near.row452.transfer,0.499977453521408
alpha_near.row452.utility,-1.1422307858598097
alpha_near.row452.stored_mu_a,0.5368195587845545
alpha_near.row452.stored_mu_b,-0.7784695102701767
alpha_near.row452.raw_mu_a,0.5368195587845545
alpha_near.row452.raw_mu_b,-0.7784695102701767
alpha_near.row452.iteration_b_backward_rate,2.7819592670102096
alpha_near.row452.iteration_b_forward_rate,0.6689705962768723
alpha_near.row452.iteration_a_backward_rate,-0.0
alpha_near.row452.iteration_a_forward_rate,1.0199571616906535
alpha_near.row452.raw_b_backward_rate,2.112988670733337
alpha_near.row452.raw_b_forward_rate,0.0
alpha_near.row452.raw_a_backward_rate,0.0
alpha_near.row452.raw_a_forward_rate,1.0199571616906535
alpha_near.row452.iteration_active_b,B
alpha_near.row452.raw_active_b,B
alpha_near.row452.iteration_active_a,F
alpha_near.row452.raw_active_a,F
alpha_near.row452.iteration_opposite_direction_component,True
alpha_near.row452.raw_opposite_direction_component,False
alpha_near.row452.b_rate_divergent,True
alpha_near.row452.a_rate_divergent,False
alpha_near.row452.active_direction_divergent,False
alpha_near.row452.iteration_diagonal,-4.470887024977735
alpha_near.row452.final_diagonal,-3.1329458324239905
alpha_near.row452.diagonal_difference,1.3379411925537443
alpha_near.row452.iteration_destinations,(451, 453, 484)
alpha_near.row452.final_destinations,(451, 484)
alpha_near.row452.destination_layout_divergent,False
alpha_near.row452.omitted_iteration_rate,0.0
alpha_near.row452.omitted_final_rate,0.0
alpha_near.row452.q_gap_nonzero_columns,(451, 452, 453)
alpha_near.row452.q_gap_column_magnitudes,(0.6689705962768726, 1.3379411925537439, 0.6689705962768723)
alpha_near.row452.rowwise_max_gap,1.3379411925537439
alpha_near.row452.summed_rate_difference,1.3379411925537448
alpha_near.row452.decomposition_residual,4.440892098500626e-16
alpha_near.row452.row_reproduction_ok,True
alpha_near.row453.row,453
alpha_near.row453.node,62
alpha_near.row453.j,1
alpha_near.row453.i,29
alpha_near.row453.z,1
alpha_near.row453.family,F0
alpha_near.row453.sector,B
alpha_near.row453.transfer_label,B
alpha_near.row453.consumption,1.0811447496429778
alpha_near.row453.labor,0.9888238165340307
alpha_near.row453.transfer,0.44331188731763094
alpha_near.row453.utility,-1.080743663236744
alpha_near.row453.stored_mu_a,0.4801539925807774
alpha_near.row453.stored_mu_b,-0.6758516138264798
alpha_near.row453.raw_mu_a,0.4801539925807774
alpha_near.row453.raw_mu_b,-0.6758516138264798
alpha_near.row453.iteration_b_backward_rate,2.337112349659788
alpha_near.row453.iteration_b_forward_rate,0.5026579692736282
alpha_near.row453.iteration_a_backward_rate,-0.0
alpha_near.row453.iteration_a_forward_rate,0.9122925859034771
alpha_near.row453.raw_b_backward_rate,1.8344543803861597
alpha_near.row453.raw_b_forward_rate,0.0
alpha_near.row453.raw_a_backward_rate,0.0
alpha_near.row453.raw_a_forward_rate,0.9122925859034771
alpha_near.row453.iteration_active_b,B
alpha_near.row453.raw_active_b,B
alpha_near.row453.iteration_active_a,F
alpha_near.row453.raw_active_a,F
alpha_near.row453.iteration_opposite_direction_component,True
alpha_near.row453.raw_opposite_direction_component,False
alpha_near.row453.b_rate_divergent,True
alpha_near.row453.a_rate_divergent,False
alpha_near.row453.active_direction_divergent,False
alpha_near.row453.iteration_diagonal,-3.7520629048368934
alpha_near.row453.final_diagonal,-2.7467469662896367
alpha_near.row453.diagonal_difference,1.0053159385472568
alpha_near.row453.iteration_destinations,(452, 454, 485)
alpha_near.row453.final_destinations,(452, 485)
alpha_near.row453.destination_layout_divergent,False
alpha_near.row453.omitted_iteration_rate,0.0
alpha_near.row453.omitted_final_rate,0.0
alpha_near.row453.q_gap_nonzero_columns,(452, 453, 454)
alpha_near.row453.q_gap_column_magnitudes,(0.5026579692736284, 1.0053159385472568, 0.5026579692736282)
alpha_near.row453.rowwise_max_gap,1.0053159385472568
alpha_near.row453.summed_rate_difference,1.0053159385472565
alpha_near.row453.decomposition_residual,2.220446049250313e-16
alpha_near.row453.row_reproduction_ok,True
alpha_near.row482.row,482
alpha_near.row482.node,91
alpha_near.row482.j,2
alpha_near.row482.i,26
alpha_near.row482.z,1
alpha_near.row482.family,F0
alpha_near.row482.sector,B
alpha_near.row482.transfer_label,B
alpha_near.row482.consumption,1.1767530877984815
alpha_near.row482.labor,0.9558688675952153
alpha_near.row482.transfer,1.0045172840426433
alpha_near.row482.utility,-0.9769231927682028
alpha_near.row482.stored_mu_a,1.0782014945572678
alpha_near.row482.stored_mu_b,-2.032510279427643
alpha_near.row482.raw_mu_a,1.0782014945572678
alpha_near.row482.raw_mu_b,-2.032510279427643
alpha_near.row482.iteration_b_backward_rate,5.601121930873659
alpha_near.row482.iteration_b_forward_rate,0.08430831528434231
alpha_near.row482.iteration_a_backward_rate,-0.0
alpha_near.row482.iteration_a_forward_rate,2.048582839658809
alpha_near.row482.raw_b_backward_rate,5.516813615589317
alpha_near.row482.raw_b_forward_rate,0.0
alpha_near.row482.raw_a_backward_rate,0.0
alpha_near.row482.raw_a_forward_rate,2.048582839658809
alpha_near.row482.iteration_active_b,B
alpha_near.row482.raw_active_b,B
alpha_near.row482.iteration_active_a,F
alpha_near.row482.raw_active_a,F
alpha_near.row482.iteration_opposite_direction_component,True
alpha_near.row482.raw_opposite_direction_component,False
alpha_near.row482.b_rate_divergent,True
alpha_near.row482.a_rate_divergent,False
alpha_near.row482.active_direction_divergent,False
alpha_near.row482.iteration_diagonal,-7.734013085816811
alpha_near.row482.final_diagonal,-7.565396455248126
alpha_near.row482.diagonal_difference,0.16861663056868448
alpha_near.row482.iteration_destinations,(481, 483, 512)
alpha_near.row482.final_destinations,(481, 512)
alpha_near.row482.destination_layout_divergent,False
alpha_near.row482.omitted_iteration_rate,0.0
alpha_near.row482.omitted_final_rate,0.0
alpha_near.row482.q_gap_nonzero_columns,(481, 482, 483)
alpha_near.row482.q_gap_column_magnitudes,(0.0843083152843418, 0.16861663056868537, 0.08430831528434231)
alpha_near.row482.rowwise_max_gap,0.16861663056868537
alpha_near.row482.summed_rate_difference,0.1686166305686841
alpha_near.row482.decomposition_residual,3.885780586188048e-16
alpha_near.row482.row_reproduction_ok,True
alpha_near.row483.row,483
alpha_near.row483.node,92
alpha_near.row483.j,2
alpha_near.row483.i,27
alpha_near.row483.z,1
alpha_near.row483.family,F0
alpha_near.row483.sector,B
alpha_near.row483.transfer_label,B
alpha_near.row483.consumption,1.1347765125116667
alpha_near.row483.labor,0.9698583747919811
alpha_near.row483.transfer,0.9533635652197752
alpha_near.row483.utility,-1.0199378812008444
alpha_near.row483.stored_mu_a,1.0270477757343996
alpha_near.row483.stored_mu_b,-1.81629254480136
alpha_near.row483.raw_mu_a,1.0270477757343996
alpha_near.row483.raw_mu_b,-1.81629254480136
alpha_near.row483.iteration_b_backward_rate,5.190140170323118
alpha_near.row483.iteration_b_forward_rate,0.26020326300514
alpha_near.row483.iteration_a_backward_rate,-0.0
alpha_near.row483.iteration_a_forward_rate,1.9513907738953595
alpha_near.row483.raw_b_backward_rate,4.929936907317978
alpha_near.row483.raw_b_forward_rate,0.0
alpha_near.row483.raw_a_backward_rate,0.0
alpha_near.row483.raw_a_forward_rate,1.9513907738953595
alpha_near.row483.iteration_active_b,B
alpha_near.row483.raw_active_b,B
alpha_near.row483.iteration_active_a,F
alpha_near.row483.raw_active_a,F
alpha_near.row483.iteration_opposite_direction_component,True
alpha_near.row483.raw_opposite_direction_component,False
alpha_near.row483.b_rate_divergent,True
alpha_near.row483.a_rate_divergent,False
alpha_near.row483.active_direction_divergent,False
alpha_near.row483.iteration_diagonal,-7.401734207223617
alpha_near.row483.final_diagonal,-6.881327681213337
alpha_near.row483.diagonal_difference,0.5204065260102801
alpha_near.row483.iteration_destinations,(482, 484, 513)
alpha_near.row483.final_destinations,(482, 513)
alpha_near.row483.destination_layout_divergent,False
alpha_near.row483.omitted_iteration_rate,0.0
alpha_near.row483.omitted_final_rate,0.0
alpha_near.row483.q_gap_nonzero_columns,(482, 483, 484)
alpha_near.row483.q_gap_column_magnitudes,(0.2602032630051401, 0.5204065260102801, 0.26020326300514)
alpha_near.row483.rowwise_max_gap,0.5204065260102801
alpha_near.row483.summed_rate_difference,0.5204065260102801
alpha_near.row483.decomposition_residual,0.0
alpha_near.row483.row_reproduction_ok,True
deterministic_repeat_identical,True
full_suite_passed,601
full_suite_failed,0
full_suite_warnings,6
full_suite_seconds,3567.97
focused_suite_passed,28
focused_suite_failed,0
