metric,value
top4.rank,4
top4.row,127
top4.node,127
top4.j,4
top4.i,3
top4.z,0
top4.family,F0
top4.residual,-10.356003695331005
top4.abs_residual,10.356003695331005
top4.residual_sign,-1
top4.sector,B
top4.liquid_label,B
top4.transfer_label,B
top4.consumption,0.7978018409555316
top4.labor,1.0133133606054452
top4.transfer,1.9228893041735549
top4.mu_a,2.0702577132543176
top4.mu_b,-3.998135783326747
top4.stored_b_backward_rate,10.852082840458314
top4.stored_b_forward_rate,0.0
top4.stored_a_backward_rate,0.0
top4.stored_a_forward_rate,3.9334896551832035
top4.neighbours,{'up': 128, 'down': 126, 'right': 154, 'left': 98}
top4.represented_destinations,((126, 10.852082840458314, 'b_backward_term'), (154, 3.9334896551832035, 'a_forward_term'))
top4.rhoV_term,-1.4068968218361442
top4.utility_source_term,1.4338751727586814
top4.b_backward_term,769.6696023303313
top4.b_forward_term,0.0
top4.a_backward_term,0.0
top4.a_forward_term,267.1810936827029
top4.boundary_term,0.0
top4.diagonal_term,-1063.5370280212337
top4.z_switch_term,16.303349961946
top4.reconstructed_R,-10.35600369533105
top4.closure_error,4.618527782440651e-14
top4.largest_component_class,b_backward_term
top4.largest_component_abs,769.6696023303313
top4.branch_inconsistent,False
top4.is_f0,True
top5.rank,5
top5.row,126
top5.node,126
top5.j,4
top5.i,2
top5.z,0
top5.family,F0
top5.residual,-10.32763377297085
top5.abs_residual,10.32763377297085
top5.residual_sign,-1
top5.sector,B
top5.liquid_label,B
top5.transfer_label,B
top5.consumption,0.7827566607375751
top5.labor,1.0210595550510149
top5.transfer,1.8416704495788427
top5.mu_a,1.9890388586596057
top5.mu_b,-3.750618087039019
top5.stored_b_backward_rate,10.180249093391623
top5.stored_b_forward_rate,0.0
top5.stored_a_backward_rate,0.0
top5.stored_a_forward_rate,3.7791738314532513
top5.neighbours,{'up': 127, 'down': 125, 'right': 153, 'left': 97}
top5.represented_destinations,((125, 10.180249093391623, 'b_backward_term'), (153, 3.7791738314532513, 'a_forward_term'))
top5.rhoV_term,-1.418473510837715
top5.utility_source_term,1.4664028516217225
top5.b_backward_term,728.1420630667378
top5.b_forward_term,0.0
top5.a_backward_term,0.0
top5.a_forward_term,258.7822617570342
top5.boundary_term,0.0
top5.diagonal_term,-1013.6948074542881
top5.z_switch_term,16.394919516761284
top5.reconstructed_R,-10.32763377297082
top5.closure_error,3.019806626980426e-14
top5.largest_component_class,b_backward_term
top5.largest_component_abs,728.1420630667378
top5.branch_inconsistent,False
top5.is_f0,True
top6.rank,6
top6.row,99
top6.node,99
top6.j,3
top6.i,4
top6.z,0
top6.family,F0
top6.residual,-10.301364253398425
top6.abs_residual,10.301364253398425
top6.residual_sign,-1
top6.sector,B
top6.liquid_label,B
top6.transfer_label,B
top6.consumption,0.7842285172966121
top6.labor,1.02029258461111
top6.transfer,1.540575464989228
top6.mu_a,1.6511017801045238
top6.mu_b,-3.2987249704789736
top6.stored_b_backward_rate,8.953682062728642
top6.stored_b_forward_rate,0.0
top6.stored_a_backward_rate,0.0
top6.stored_a_forward_rate,3.1370933821985956
top6.neighbours,{'up': 100, 'down': 98, 'right': 128, 'left': 69}
top6.represented_destinations,((98, 8.953682062728642, 'b_backward_term'), (128, 3.1370933821985956, 'a_forward_term'))
top6.rhoV_term,-1.4477824958344099
top6.utility_source_term,1.4631555369609441
top6.b_backward_term,653.5128633208633
top6.b_forward_term,0.0
top6.a_backward_term,0.0
top6.a_forward_term,218.89949799832763
top6.boundary_term,0.0
top6.diagonal_term,-899.3703607754146
top6.z_switch_term,16.64126216169873
top6.reconstructed_R,-10.301364253398422
top6.closure_error,3.552713678800501e-15
top6.largest_component_class,b_backward_term
top6.largest_component_abs,653.5128633208633
top6.branch_inconsistent,False
top6.is_f0,True
top7.rank,7
top7.row,68
top7.node,68
top7.j,2
top7.i,3
top7.z,0
top7.family,F0
top7.residual,-10.293608091032462
top7.abs_residual,10.293608091032462
top7.residual_sign,-1
top7.sector,B
top7.liquid_label,B
top7.transfer_label,B
top7.consumption,0.7548609026163204
top7.labor,1.0359886793386506
top7.transfer,1.0730713072178537
top7.mu_a,1.1467555177324782
top7.mu_b,-2.3425697043033042
top7.stored_b_backward_rate,6.358403483108969
top7.stored_b_forward_rate,0.0
top7.stored_a_backward_rate,0.0
top7.stored_a_forward_rate,2.1788354836917088
top7.neighbours,{'up': 69, 'down': 67, 'right': 98, 'left': 36}
top7.represented_destinations,((67, 6.358403483108969, 'b_backward_term'), (98, 2.1788354836917088, 'a_forward_term'))
top7.rhoV_term,-1.5177477772473322
top7.utility_source_term,1.5308003124496254
top7.b_backward_term,486.6337435115279
top7.b_forward_term,0.0
top7.a_backward_term,0.0
top7.a_forward_term,159.02921342044314
top7.boundary_term,0.0
top7.diagonal_term,-673.1645695720075
top7.z_switch_term,17.19495201380173
top7.reconstructed_R,-10.293608091032436
top7.closure_error,2.6645352591003757e-14
top7.largest_component_class,b_backward_term
top7.largest_component_abs,486.6337435115279
top7.branch_inconsistent,False
top7.is_f0,True
top8.rank,8
top8.row,128
top8.node,128
top8.j,4
top8.i,4
top8.z,0
top8.family,F0
top8.residual,-10.275469211321152
top8.abs_residual,10.275469211321152
top8.residual_sign,-1
top8.sector,B
top8.liquid_label,B
top8.transfer_label,B
top8.consumption,0.8060608148203878
top8.labor,1.009147523700388
top8.transfer,1.9505963420888823
top8.mu_a,2.0979647511696453
top8.mu_b,-4.083315183432369
top8.stored_b_backward_rate,11.083284069316429
top8.stored_b_forward_rate,0.0
top8.stored_a_backward_rate,0.0
top8.stored_a_forward_rate,3.9861330272223263
top8.neighbours,{'up': 129, 'down': 127, 'right': 155, 'left': 99}
top8.represented_destinations,((127, 11.083284069316429, 'b_backward_term'), (155, 3.9861330272223263, 'a_forward_term'))
top8.rhoV_term,-1.3955561491441129
top8.utility_source_term,1.416627134833049
top8.b_backward_term,779.6518566314226
top8.b_forward_term,0.0
top8.a_backward_term,0.0
top8.a_forward_term,268.6082913017653
top8.boundary_term,0.0
top8.diagonal_term,-1074.770153807006
top8.z_switch_term,16.213465676808013
top8.reconstructed_R,-10.275469211321266
top8.closure_error,1.1368683772161603e-13
top8.largest_component_class,b_backward_term
top8.largest_component_abs,779.6518566314226
top8.branch_inconsistent,False
top8.is_f0,True
top9.rank,9
top9.row,66
top9.node,66
top9.j,2
top9.i,1
top9.z,0
top9.family,F0
top9.residual,-10.240000424841796
top9.abs_residual,10.240000424841796
top9.residual_sign,-1
top9.sector,B
top9.liquid_label,B
top9.transfer_label,B
top9.consumption,0.7142761924758261
top9.labor,1.0591447371886997
top9.transfer,0.9356620808747474
top9.mu_a,1.009346291389372
top9.mu_b,-1.8876079922046203
top9.stored_b_backward_rate,5.123507407412541
top9.stored_b_forward_rate,0.0
top9.stored_a_backward_rate,0.0
top9.stored_a_forward_rate,1.917757953639807
top9.neighbours,{'up': 67, 'down': 65, 'right': 96, 'left': 34}
top9.represented_destinations,((65, 5.123507407412541, 'b_backward_term'), (96, 1.917757953639807, 'a_forward_term'))
top9.rhoV_term,-1.543960304787527
top9.utility_source_term,1.635296286661192
top9.b_backward_term,399.2244132214475
top9.b_forward_term,0.0
top9.a_backward_term,0.0
top9.a_forward_term,142.3538334793943
top9.boundary_term,0.0
top9.diagonal_term,-569.3043823934707
top9.z_switch_term,17.394799285913496
top9.reconstructed_R,-10.240000424841764
top9.closure_error,3.197442310920451e-14
top9.largest_component_class,b_backward_term
top9.largest_component_abs,399.2244132214475
top9.branch_inconsistent,False
top9.is_f0,True
top10.rank,10
top10.row,154
top10.node,154
top10.j,5
top10.i,3
top10.z,0
top10.family,F0
top10.residual,-10.186373404839824
top10.abs_residual,10.186373404839824
top10.residual_sign,-1
top10.sector,B
top10.liquid_label,B
top10.transfer_label,B
top10.consumption,0.8175673724693993
top10.labor,1.0034422013724367
top10.transfer,2.269550677357655
top10.mu_a,2.453761092176729
top10.mu_b,-4.606954062767613
top10.stored_b_backward_rate,12.504589598940665
top10.stored_b_forward_rate,0.0
top10.stored_a_backward_rate,0.0
top10.stored_a_forward_rate,4.6621460751357855
top10.neighbours,{'up': 155, 'down': 153, 'right': 180, 'left': 127}
top10.represented_destinations,((153, 12.504589598940665, 'b_backward_term'), (180, 4.6621460751357855, 'a_forward_term'))
top10.rhoV_term,-1.3584939435680752
top10.utility_source_term,1.3932794139677813
top10.b_backward_term,856.2628032151105
top10.b_forward_term,0.0
top10.a_backward_term,0.0
top10.a_forward_term,306.30478591334213
top10.boundary_term,0.0
top10.diagonal_term,-1188.6868879294782
top10.z_switch_term,15.898139925786063
top10.reconstructed_R,-10.186373404839832
top10.closure_error,8.881784197001252e-15
top10.largest_component_class,b_backward_term
top10.largest_component_abs,856.2628032151105
top10.branch_inconsistent,False
top10.is_f0,True
top11.rank,11
top11.row,100
top11.node,100
top11.j,3
top11.i,5
top11.z,0
top11.family,F0
top11.residual,-10.177686978507033
top11.abs_residual,10.177686978507033
top11.residual_sign,-1
top11.sector,B
top11.liquid_label,B
top11.transfer_label,B
top11.consumption,0.7901793964657272
top11.labor,1.0172120633907054
top11.transfer,1.5474000788467677
top11.mu_a,1.6579263939620634
top11.mu_b,-3.3202562773711564
top11.stored_b_backward_rate,9.012124181435997
top11.stored_b_forward_rate,0.0
top11.stored_a_backward_rate,0.0
top11.stored_a_forward_rate,3.1500601485279205
top11.neighbours,{'up': 101, 'down': 99, 'right': 129, 'left': 70}
top11.represented_destinations,((99, 9.012124181435997, 'b_backward_term'), (129, 3.1500601485279205, 'a_forward_term'))
top11.rhoV_term,-1.4359813811265614
top11.utility_source_term,1.450171987811802
top11.b_backward_term,652.3797820084523
top11.b_forward_term,0.0
top11.a_backward_term,0.0
top11.a_forward_term,218.04605703583636
top11.boundary_term,0.0
top11.diagonal_term,-897.1665356016465
top11.z_switch_term,16.54881897216562
top11.reconstructed_R,-10.177686978506998
top11.closure_error,3.552713678800501e-14
top11.largest_component_class,b_backward_term
top11.largest_component_abs,652.3797820084523
top11.branch_inconsistent,False
top11.is_f0,True
top12.rank,12
top12.row,69
top12.node,69
top12.j,2
top12.i,4
top12.z,0
top12.family,F0
top12.residual,-10.16613654134391
top12.abs_residual,10.16613654134391
top12.residual_sign,-1
top12.sector,B
top12.liquid_label,B
top12.transfer_label,B
top12.consumption,0.7611185362029059
top12.labor,1.0325732334756255
top12.transfer,1.0791809441277547
top12.mu_a,1.1528651546423792
top12.mu_b,-2.362994026429533
top12.stored_b_backward_rate,6.413840928880161
top12.stored_b_forward_rate,0.0
top12.stored_a_backward_rate,0.0
top12.stored_a_forward_rate,2.1904437938205206
top12.neighbours,{'up': 70, 'down': 68, 'right': 99, 'left': 37}
top12.represented_destinations,((68, 6.413840928880161, 'b_backward_term'), (99, 2.1904437938205206, 'a_forward_term'))
top12.rhoV_term,-1.5050282831808657
top12.utility_source_term,1.51586628829322
top12.b_backward_term,486.7296406712914
top12.b_forward_term,0.0
top12.a_backward_term,0.0
top12.a_forward_term,158.56430914012333
top12.boundary_term,0.0
top12.diagonal_term,-672.5683979299589
top12.z_switch_term,17.097473572087907
top12.reconstructed_R,-10.166136541343903
top12.closure_error,7.105427357601002e-15
top12.largest_component_class,b_backward_term
top12.largest_component_abs,486.7296406712914
top12.branch_inconsistent,False
top12.is_f0,True
top13.rank,13
top13.row,129
top13.node,129
top13.j,4
top13.i,5
top13.z,0
top13.family,F0
top13.residual,-10.16542109026998
top13.abs_residual,10.16542109026998
top13.residual_sign,-1
top13.sector,B
top13.liquid_label,B
top13.transfer_label,B
top13.consumption,0.8124438754825328
top13.labor,1.005968622904061
top13.transfer,1.9631395883858584
top13.mu_a,2.1105079974666214
top13.mu_b,-4.121607249525762
top13.stored_b_backward_rate,11.187219677284212
top13.stored_b_forward_rate,0.0
top13.stored_a_backward_rate,0.0
top13.stored_a_forward_rate,4.009965195186581
top13.neighbours,{'up': 130, 'down': 128, 'right': 156, 'left': 100}
top13.represented_destinations,((128, 11.187219677284212, 'b_backward_term'), (156, 4.009965195186581, 'a_forward_term'))
top13.rhoV_term,-1.3843929750848292
top13.utility_source_term,1.4035793163255486
top13.b_backward_term,780.619660623
top13.b_forward_term,0.0
top13.a_backward_term,0.0
top13.a_forward_term,268.0880750443449
top13.boundary_term,0.0
top13.diagonal_term,-1075.017015177114
top13.z_switch_term,16.124672078258413
top13.reconstructed_R,-10.165421090270115
top13.closure_error,1.3500311979441904e-13
top13.largest_component_class,b_backward_term
top13.largest_component_abs,780.619660623
top13.branch_inconsistent,False
top13.is_f0,True
top14.rank,14
top14.row,96
top14.node,96
top14.j,3
top14.i,1
top14.z,0
top14.family,F0
top14.residual,-10.149680919791523
top14.abs_residual,10.149680919791523
top14.residual_sign,-1
top14.sector,B
top14.liquid_label,B
top14.transfer_label,B
top14.consumption,0.7283428036048036
top14.labor,1.0509146569685714
top14.transfer,1.2834787357632527
top14.mu_a,1.3940050508785484
top14.mu_b,-2.501480213085532
top14.stored_b_backward_rate,6.789732006946442
top14.stored_b_forward_rate,0.0
top14.stored_a_backward_rate,0.0
top14.stored_a_forward_rate,2.648609596669242
top14.neighbours,{'up': 97, 'down': 95, 'right': 125, 'left': 66}
top14.represented_destinations,((95, 6.789732006946442, 'b_backward_term'), (125, 2.648609596669242, 'a_forward_term'))
top14.rhoV_term,-1.484586031404161
top14.utility_source_term,1.5974990377192055
top14.b_backward_term,508.71253927023304
top14.b_forward_term,0.0
top14.a_backward_term,0.0
top14.a_forward_term,189.44173549044143
top14.boundary_term,0.0
top14.diagonal_term,-725.3446057408324
top14.z_switch_term,16.9277370540514
top14.reconstructed_R,-10.1496809197915
top14.closure_error,2.3092638912203256e-14
top14.largest_component_class,b_backward_term
top14.largest_component_abs,508.71253927023304
top14.branch_inconsistent,False
top14.is_f0,True
top15.rank,15
top15.row,155
top15.node,155
top15.j,5
top15.i,4
top15.z,0
top15.family,F0
top15.residual,-10.131342508126945
top15.abs_residual,10.131342508126945
top15.residual_sign,-1
top15.sector,B
top15.liquid_label,B
top15.transfer_label,B
top15.consumption,0.8267450297586635
top15.labor,0.998971608563292
top15.transfer,2.31119091604446
top15.mu_a,2.495401330863534
top15.mu_b,-4.730089970528448
top15.stored_b_backward_rate,12.838815634291503
top15.stored_b_forward_rate,0.0
top15.stored_a_backward_rate,0.0
top15.stored_a_forward_rate,4.741262528640715
top15.neighbours,{'up': 156, 'down': 154, 'right': 181, 'left': 128}
top15.represented_destinations,((154, 12.838815634291503, 'b_backward_term'), (181, 4.741262528640715, 'a_forward_term'))
top15.rhoV_term,-1.3477136335760511
top15.utility_source_term,1.3752036755662245
top15.b_backward_term,872.0726640886062
