layer,variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,vb_boundary_closure,vb_backward,va_forward,va_backward,va_over_vb_minus_1,selected_transfer_candidate,candidate_source,is_top_layer,material_positive
n-2,J1_A77_B140,138,75,1,4.884210526e+01,9.868421053e+00,1.300000000e+00,B,F,1.950140495e+00,7.809911191e-01,-3.985612419e-01,5.595303196e-02,2.733712798e-02,-1.287869526e-01,-1.190551914e-02,-3.545137291e-01,3.426082099e-01,5.551115123e-17,2.624163080e-01,2.629469869e-01,2.140542235e-01,2.149779793e-01,-1.807750783e-01,-3.985612418e-01,"d_fb(va_b,vb_f)",False,False
n-3,J1_A77_B140,137,75,1,4.847368421e+01,9.868421053e+00,1.300000000e+00,B,F,1.946696502e+00,7.815435013e-01,-3.902662808e-01,5.446048209e-02,2.733712798e-02,-1.204919915e-01,-2.017987133e-02,-3.559856700e-01,3.358057987e-01,0.000000000e+00,2.629469869e-01,2.638781937e-01,2.149286596e-01,2.158547681e-01,-1.790939662e-01,-3.902662806e-01,"d_fb(va_b,vb_f)",False,False
n-5,J1_A77_B140,135,75,1,4.773684211e+01,9.868421053e+00,1.300000000e+00,B,F,1.937369341e+00,7.830463806e-01,-3.835150893e-01,5.325600306e-02,2.733712798e-02,-1.137408000e-01,-2.579137280e-02,-3.560504590e-01,3.302590862e-01,5.551115123e-17,2.650710270e-01,2.664251102e-01,2.170172149e-01,2.179610867e-01,-1.777257247e-01,-3.835150891e-01,"d_fb(va_b,vb_f)",False,False
n-1,J1_A77_B140,139,76,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,B,B,1.953142476e+00,7.805107439e-01,-4.319602544e-01,6.185499159e-02,2.700000000e-02,-1.619602544e-01,1.758505363e-02,-3.525202092e-01,3.701052629e-01,-1.665334537e-16,3.634026301e-01,2.621393086e-01,0.000000000e+00,2.132786253e-01,-1.863920509e-01,-4.319602544e-01,"d_bb(va_b,vb_b)",True,True
n-2,J1_A77_B140,138,76,1,4.884210526e+01,1.000000000e+01,1.300000000e+00,B,F,1.951299605e+00,7.808055164e-01,-4.171666278e-01,5.911946231e-02,2.700000000e-02,-1.471666278e-01,2.169234979e-03,-3.558779305e-01,3.580471655e-01,0.000000000e+00,2.621393086e-01,2.626346883e-01,0.000000000e+00,2.140542235e-01,-1.834333255e-01,-4.171666277e-01,"d_fb(va_b,vb_f)",False,True
n-3,J1_A77_B140,137,76,1,4.847368421e+01,1.000000000e+01,1.300000000e+00,B,F,1.948007061e+00,7.813331395e-01,-4.082202548e-01,5.748640312e-02,2.700000000e-02,-1.382202548e-01,-6.794827251e-03,-3.575286789e-01,3.507338517e-01,-5.551115123e-17,2.626346883e-01,2.635232549e-01,0.000000000e+00,2.149286596e-01,-1.816440509e-01,-4.082202546e-01,"d_fb(va_b,vb_f)",False,False
n-5,J1_A77_B140,135,76,1,4.773684211e+01,1.000000000e+01,1.300000000e+00,B,F,1.938888793e+00,7.828008623e-01,-4.003859135e-01,5.606947933e-02,2.700000000e-02,-1.303859135e-01,-1.352477480e-02,-3.578412090e-01,3.443164342e-01,2.220446049e-16,2.646800532e-01,2.660076942e-01,0.000000000e+00,2.170172149e-01,-1.800771827e-01,-4.003859133e-01,"d_fb(va_b,vb_f)",False,False
n-1,J3_A153_B120,119,147,1,4.184210526e+01,9.671052632e+00,1.300000000e+00,B,B,1.837898934e+00,7.997307685e-01,-3.846889827e-01,5.377081204e-02,2.777983641e-02,-1.160287227e-01,4.353314391e-03,-3.265648563e-01,3.309181707e-01,5.551115123e-17,4.061898052e-01,2.960443303e-01,2.418481582e-01,2.428881710e-01,-1.795547284e-01,-3.846889827e-01,"d_bb(va_b,vb_b)",True,True
n-2,J3_A153_B120,118,147,1,4.147368421e+01,9.671052632e+00,1.300000000e+00,B,F,1.835885214e+00,8.000815322e-01,-3.712374655e-01,5.137423830e-02,2.777983641e-02,-1.025772054e-01,-9.826630700e-03,-3.296898579e-01,3.198632272e-01,1.110223025e-16,2.960443303e-01,2.966941285e-01,2.426615913e-01,2.437117102e-01,-1.767729180e-01,-3.712374654e-01,"d_fb(va_b,vb_f)",False,False
n-3,J3_A153_B120,117,147,1,4.110526316e+01,9.671052632e+00,1.300000000e+00,B,F,1.832389984e+00,8.006916360e-01,-3.640282705e-01,5.010522189e-02,2.777983641e-02,-9.536801046e-02,-1.712373049e-02,-3.310467791e-01,3.139230486e-01,0.000000000e+00,2.966941285e-01,2.978270786e-01,2.436225019e-01,2.446889773e-01,-1.752820369e-01,-3.640282704e-01,"d_fb(va_b,vb_f)",False,False
n-5,J3_A153_B120,115,147,1,4.036842105e+01,9.671052632e+00,1.300000000e+00,B,F,1.822990085e+00,8.023405337e-01,-3.588225655e-01,4.919555743e-02,2.777983641e-02,-9.016230550e-02,-2.125047114e-02,-3.308774792e-01,3.096270081e-01,0.000000000e+00,2.992715242e-01,3.009063738e-01,2.460333922e-01,2.471367838e-01,-1.742054829e-01,-3.588225655e-01,"d_fb(va_b,vb_f)",False,False
n-1,J3_A153_B120,119,148,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,B,B,1.838349988e+00,7.996522746e-01,-4.024564467e-01,5.688052379e-02,2.764014998e-02,-1.333286705e-01,1.847327678e-02,-3.271026461e-01,3.455759229e-01,-1.110223025e-16,4.061898052e-01,2.958990744e-01,2.408469211e-01,2.418481582e-01,-1.826667296e-01,-4.024564466e-01,"d_bb(va_b,vb_b)",True,True
n-2,J3_A153_B120,118,148,1,4.147368421e+01,9.736842105e+00,1.300000000e+00,B,F,1.836416331e+00,7.999889663e-01,-3.890730492e-01,5.445421797e-02,2.764014998e-02,-1.199452731e-01,4.295571428e-03,-3.303232598e-01,3.346188312e-01,-5.551115123e-17,2.958990744e-01,2.965225373e-01,2.416537062e-01,2.426615913e-01,-1.799177074e-01,-3.890730492e-01,"d_fb(va_b,vb_f)",False,True
n-3,J3_A153_B120,117,148,1,4.110526316e+01,9.736842105e+00,1.300000000e+00,B,F,1.833013025e+00,8.005827628e-01,-3.816910206e-01,5.313165702e-02,2.764014998e-02,-1.125632444e-01,-3.230761525e-03,-3.317901251e-01,3.285593636e-01,-1.665334537e-16,2.965225373e-01,2.976246501e-01,2.426012827e-01,2.436225019e-01,-1.784013988e-01,-3.816910205e-01,"d_fb(va_b,vb_f)",False,False
n-5,J3_A153_B120,115,148,1,4.036842105e+01,9.736842105e+00,1.300000000e+00,B,F,1.823738111e+00,8.022088819e-01,-3.761603364e-01,5.214811675e-02,2.764014998e-02,-1.070325602e-01,-7.758760988e-03,-3.317709806e-01,3.240122197e-01,1.110223025e-16,2.990434365e-01,3.006595843e-01,2.449788953e-01,2.460333922e-01,-1.772653664e-01,-3.761603363e-01,"d_fb(va_b,vb_f)",False,False
n-1,J3_A153_B120,119,149,1,4.184210526e+01,9.802631579e+00,1.300000000e+00,B,B,1.838797684e+00,7.995743917e-01,-4.198170489e-01,5.996119877e-02,2.749270532e-02,-1.503161875e-01,3.221944759e-02,-3.276364025e-01,3.598558501e-01,-1.110223025e-16,4.061898052e-01,2.957550056e-01,2.399198434e-01,2.408469211e-01,-1.856539482e-01,-4.198170489e-01,"d_bb(va_b,vb_b)",True,True
n-2,J3_A153_B120,118,149,1,4.147368421e+01,9.802631579e+00,1.300000000e+00,B,F,1.836940529e+00,7.998976430e-01,-4.064468319e-01,5.749720139e-02,2.749270532e-02,-1.369459705e-01,1.800126012e-02,-3.309483704e-01,3.489496305e-01,5.551115123e-17,2.957550056e-01,2.963533272e-01,2.407244349e-01,2.416537062e-01,-1.829260650e-01,-4.064468318e-01,"d_fb(va_b,vb_f)",False,True
n-3,J3_A153_B120,117,149,1,4.110526316e+01,9.802631579e+00,1.300000000e+00,B,F,1.833627480e+00,8.004754408e-01,-3.988604465e-01,5.611532498e-02,2.749270532e-02,-1.293595852e-01,1.022195061e-02,-3.325231709e-01,3.427451216e-01,1.110223025e-16,2.963533272e-01,2.974252134e-01,2.416626437e-01,2.426012827e-01,-1.813782387e-01,-3.988604465e-01,"d_fb(va_b,vb_f)",False,True
n-5,J3_A153_B120,115,149,1,4.036842105e+01,9.802631579e+00,1.300000000e+00,B,F,1.824479125e+00,8.020785389e-01,-3.929599950e-01,5.504866309e-02,2.749270532e-02,-1.234591336e-01,5.255308593e-03,-3.326560233e-01,3.379113319e-01,5.551115123e-17,2.988182996e-01,3.004154076e-01,2.440123367e-01,2.449788953e-01,-1.801743882e-01,-3.929599949e-01,"d_fb(va_b,vb_f)",False,True
n-1,J3_A153_B120,119,150,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,B,B,1.839244489e+00,7.994966904e-01,-4.361560157e-01,6.289245133e-02,2.733712798e-02,-1.663817264e-01,4.509449740e-02,-3.281690670e-01,3.732635644e-01,0.000000000e+00,4.061898052e-01,2.956113286e-01,2.391339941e-01,2.399198434e-01,-1.883942858e-01,-4.361560157e-01,"d_bb(va_b,vb_b)",True,True
