index,k_lambda,k_delta,k_alpha,lam,trust_fraction,trust_radius,alpha,raw_direction_norm_inf,projected_direction_norm_inf,clipped_direction_norm_inf,linear_solve_residual_inf,finite,active_constraint_count,active_constraint_ids,min_pb_trial,min_pb_node,min_pb_nz,r_trial_inf,residual_ratio,absolute_decrease,armijo_rhs,armijo_pass,material_reduction_flag,max_abs_q1_trial,single_q_ok,conservativity_ok,accepted,reject_reason,nonfinite_reason
19,0,0,18,1.0,1.0,0.0002665541151784989,3.814697265625e-06,0.0002665541151784989,0.0002665541151784989,0.0002665541151784989,5.329070518200751e-15,True,0,,4.208201533271807e-09,332,1,10.43509431233796,0.9999999999207518,8.269616103007138e-10,10.43509430918425,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
20,0,0,19,1.0,1.0,0.0002665541151784989,1.9073486328125e-06,0.0002665541151784989,0.0002665541151784989,0.0002665541151784989,5.329070518200751e-15,True,0,,4.508564188654418e-09,332,1,10.435094312751664,0.9999999999603973,4.1325698418859247e-10,10.435094311174584,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
21,0,0,20,1.0,1.0,0.0002665541151784989,9.5367431640625e-07,0.0002665541151784989,0.0002665541151784989,0.0002665541151784989,5.329070518200751e-15,True,0,,4.658745516345724e-09,332,1,10.435094312958311,0.9999999999802005,2.0660984034748253e-10,10.435094312169753,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
22,0,1,0,1.0,0.5,0.00013327705758924945,1.0,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
23,0,1,1,1.0,0.5,0.00013327705758924945,0.5,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
24,0,1,2,1.0,0.5,0.00013327705758924945,0.25,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
25,0,1,3,1.0,0.5,0.00013327705758924945,0.125,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
26,0,1,4,1.0,0.5,0.00013327705758924945,0.0625,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
27,0,1,5,1.0,0.5,0.00013327705758924945,0.03125,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
28,0,1,6,1.0,0.5,0.00013327705758924945,0.015625,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
29,0,1,7,1.0,0.5,0.00013327705758924945,0.0078125,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
30,0,1,8,1.0,0.5,0.00013327705758924945,0.00390625,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
31,0,1,9,1.0,0.5,0.00013327705758924945,0.001953125,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
32,0,1,10,1.0,0.5,0.00013327705758924945,0.0009765625,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
33,0,1,11,1.0,0.5,0.00013327705758924945,0.00048828125,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
