variant,b_index,a_index,z_index,b,a,z,layer_kind,a_resolution,mu_a,mu_b,mu_W,b_outward,classification,dlh5k_interior_positive_trajectory,dlh5k_top_offender_trajectory,mu_W_inward_or_outward,positive_mu_b_coexists_with
J1_A77_B140,139,74,1,4.921052632e+01,9.736842105e+00,1.300000000e+00,TOP,a77,-1.167240378e-01,-1.813036383e-02,-1.348544017e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,75,0,4.921052632e+01,9.868421053e+00,8.000000000e-01,TOP,a77,-1.411737193e-01,-3.731143066e-01,-5.142880259e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,TOP,a77,-1.432371347e-01,3.118098535e-03,-1.401190362e-01,True,B_OUTWARD__TOTAL_INWARD,False,True,,
J1_A77_B140,139,76,0,4.921052632e+01,1.000000000e+01,8.000000000e-01,TOP,a77,-1.592650531e-01,-3.592597237e-01,-5.185247769e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J1_A77_B140,139,76,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,TOP,a77,-1.619602544e-01,1.758505363e-02,-1.443752008e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J2_A77_B160,159,73,0,5.657894737e+01,9.605263158e+00,8.000000000e-01,TOP,a77,-8.475213254e-02,-4.326286183e-01,-5.173807508e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J2_A77_B160,159,73,1,5.657894737e+01,9.605263158e+00,1.300000000e+00,TOP,a77,-8.587238012e-02,-6.589754478e-02,-1.517699249e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J2_A77_B160,159,74,0,5.657894737e+01,9.736842105e+00,8.000000000e-01,TOP,a77,-1.140454428e-01,-4.087873052e-01,-5.228327480e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J2_A77_B160,159,74,1,5.657894737e+01,9.736842105e+00,1.300000000e+00,TOP,a77,-1.155122611e-01,-4.167611663e-02,-1.571883778e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J2_A77_B160,159,75,0,5.657894737e+01,9.868421053e+00,8.000000000e-01,TOP,a77,-1.400762738e-01,-3.880477456e-01,-5.281240194e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J2_A77_B160,159,75,1,5.657894737e+01,9.868421053e+00,1.300000000e+00,TOP,a77,-1.419923266e-01,-2.047753391e-02,-1.624698605e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J2_A77_B160,159,76,0,5.657894737e+01,1.000000000e+01,8.000000000e-01,TOP,a77,-1.582200388e-01,-3.741688922e-01,-5.323889310e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J2_A77_B160,159,76,1,5.657894737e+01,1.000000000e+01,1.300000000e+00,TOP,a77,-1.607083898e-01,-6.041441309e-03,-1.667498311e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J3_A153_B120,115,147,1,4.036842105e+01,9.671052632e+00,1.300000000e+00,INTERIOR,a153,-9.016230550e-02,-2.125047114e-02,-1.114127766e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J3_A153_B120,115,148,1,4.036842105e+01,9.736842105e+00,1.300000000e+00,INTERIOR,a153,-1.070325602e-01,-7.758760988e-03,-1.147913212e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,115,149,1,4.036842105e+01,9.802631579e+00,1.300000000e+00,INTERIOR,a153,-1.234591336e-01,5.255308593e-03,-1.182038250e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,115,150,1,4.036842105e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a153,-1.387796332e-01,1.725071949e-02,-1.215289137e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,115,151,1,4.036842105e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.517844523e-01,2.724569036e-02,-1.245387620e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,115,152,1,4.036842105e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.602504871e-01,3.343957800e-02,-1.268109091e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,117,147,1,4.110526316e+01,9.671052632e+00,1.300000000e+00,INTERIOR,a153,-9.536801046e-02,-1.712373049e-02,-1.124917409e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J3_A153_B120,117,148,1,4.110526316e+01,9.736842105e+00,1.300000000e+00,INTERIOR,a153,-1.125632444e-01,-3.230761525e-03,-1.157940060e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,117,149,1,4.110526316e+01,9.802631579e+00,1.300000000e+00,INTERIOR,a153,-1.293595852e-01,1.022195061e-02,-1.191376345e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,117,150,1,4.110526316e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a153,-1.451152237e-01,2.270979287e-02,-1.224054309e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,117,151,1,4.110526316e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.586468621e-01,3.327284609e-02,-1.253740160e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,117,152,1,4.110526316e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.677573002e-01,4.013439311e-02,-1.276229071e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,118,147,1,4.147368421e+01,9.671052632e+00,1.300000000e+00,INTERIOR,a153,-1.025772054e-01,-9.826630700e-03,-1.124038361e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
