variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,mu_W,mu_W_transfer_cancelled_reconstruction,transfer_cancellation_residual,linear_d_contribution_mu_a,linear_negd_contribution_mu_b,linear_d_cancellation_sum,is_top_layer,material_positive
J0_A77_B120,119,75,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,B,B,1.838415728e+00,7.996408366e-01,-4.144437941e-01,5.884976347e-02,2.733712798e-02,-1.446695049e-01,2.841300610e-02,-3.271810246e-01,3.555940307e-01,0.000000000e+00,-1.162564988e-01,-1.162564988e-01,2.775557562e-17,-4.144437941e-01,4.144437941e-01,0.000000000e+00,True,True
J0_A77_B120,119,76,0,4.184210526e+01,1.000000000e+01,8.000000000e-01,B,B,1.833846592e+00,7.263677965e-01,-4.304760201e-01,6.157856241e-02,2.700000000e-02,-1.604760201e-01,-3.433874538e-01,-7.122849116e-01,3.688974577e-01,0.000000000e+00,-5.038634740e-01,-5.038634740e-01,0.000000000e+00,-4.304760201e-01,4.304760201e-01,0.000000000e+00,True,False
J0_A77_B120,119,76,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,B,B,1.839408990e+00,7.994680895e-01,-4.334059876e-01,6.212467376e-02,2.700000000e-02,-1.634059876e-01,4.291614197e-02,-3.283651718e-01,3.712813138e-01,5.551115123e-17,-1.204898456e-01,-1.204898456e-01,4.163336342e-17,-4.334059876e-01,4.334059876e-01,0.000000000e+00,True,True
J1_A77_B140,135,75,1,4.773684211e+01,9.868421053e+00,1.300000000e+00,B,F,1.937369341e+00,7.830463806e-01,-3.835150893e-01,5.325600306e-02,2.733712798e-02,-1.137408000e-01,-2.579137280e-02,-3.560504590e-01,3.302590862e-01,5.551115123e-17,-1.395321728e-01,-1.395321728e-01,5.551115123e-17,-3.835150893e-01,3.835150893e-01,0.000000000e+00,False,False
J1_A77_B140,135,76,1,4.773684211e+01,1.000000000e+01,1.300000000e+00,B,F,1.938888793e+00,7.828008623e-01,-4.003859135e-01,5.606947933e-02,2.700000000e-02,-1.303859135e-01,-1.352477480e-02,-3.578412090e-01,3.443164342e-01,2.220446049e-16,-1.439106883e-01,-1.439106883e-01,2.220446049e-16,-4.003859135e-01,4.003859135e-01,0.000000000e+00,False,False
J1_A77_B140,137,75,1,4.847368421e+01,9.868421053e+00,1.300000000e+00,B,F,1.946696502e+00,7.815435013e-01,-3.902662808e-01,5.446048209e-02,2.733712798e-02,-1.204919915e-01,-2.017987133e-02,-3.559856700e-01,3.358057987e-01,0.000000000e+00,-1.406718628e-01,-1.406718628e-01,0.000000000e+00,-3.902662808e-01,3.902662808e-01,0.000000000e+00,False,False
J1_A77_B140,137,76,1,4.847368421e+01,1.000000000e+01,1.300000000e+00,B,F,1.948007061e+00,7.813331395e-01,-4.082202548e-01,5.748640312e-02,2.700000000e-02,-1.382202548e-01,-6.794827251e-03,-3.575286789e-01,3.507338517e-01,-5.551115123e-17,-1.450150820e-01,-1.450150820e-01,-5.551115123e-17,-4.082202548e-01,4.082202548e-01,0.000000000e+00,False,False
J1_A77_B140,138,75,1,4.884210526e+01,9.868421053e+00,1.300000000e+00,B,F,1.950140495e+00,7.809911191e-01,-3.985612419e-01,5.595303196e-02,2.733712798e-02,-1.287869526e-01,-1.190551914e-02,-3.545137291e-01,3.426082099e-01,5.551115123e-17,-1.406924718e-01,-1.406924718e-01,5.551115123e-17,-3.985612419e-01,3.985612419e-01,0.000000000e+00,False,False
J1_A77_B140,138,76,1,4.884210526e+01,1.000000000e+01,1.300000000e+00,B,F,1.951299605e+00,7.808055164e-01,-4.171666278e-01,5.911946231e-02,2.700000000e-02,-1.471666278e-01,2.169234979e-03,-3.558779305e-01,3.580471655e-01,0.000000000e+00,-1.449973928e-01,-1.449973928e-01,0.000000000e+00,-4.171666278e-01,4.171666278e-01,0.000000000e+00,False,True
J1_A77_B140,139,73,0,4.921052632e+01,9.605263158e+00,8.000000000e-01,B,B,1.943943134e+00,7.096241058e-01,-3.539613349e-01,4.843988093e-02,2.791212418e-02,-8.585803693e-02,-4.177193936e-01,-7.232408476e-01,3.055214540e-01,-1.665334537e-16,-5.035774305e-01,-5.035774305e-01,-1.110223025e-16,-3.539613349e-01,3.539613349e-01,0.000000000e+00,True,False
J1_A77_B140,139,73,1,4.921052632e+01,9.605263158e+00,1.300000000e+00,B,B,1.950073014e+00,7.810019291e-01,-3.551502467e-01,4.864654389e-02,2.791212418e-02,-8.704694872e-02,-4.240428507e-02,-3.489079879e-01,3.065037028e-01,5.551115123e-17,-1.294512338e-01,-1.294512338e-01,2.775557562e-17,-3.551502467e-01,3.551502467e-01,0.000000000e+00,True,False
J1_A77_B140,139,74,0,4.921052632e+01,9.736842105e+00,8.000000000e-01,B,B,1.945132472e+00,7.094505161e-01,-3.842823607e-01,5.359464537e-02,2.764014998e-02,-1.151545845e-01,-3.938605108e-01,-7.245482261e-01,3.306877153e-01,0.000000000e+00,-5.090150954e-01,-5.090150954e-01,0.000000000e+00,-3.842823607e-01,3.842823607e-01,0.000000000e+00,True,False
J1_A77_B140,139,74,1,4.921052632e+01,9.736842105e+00,1.300000000e+00,B,B,1.951091288e+00,7.808388617e-01,-3.858518140e-01,5.387572639e-02,2.764014998e-02,-1.167240378e-01,-1.813036383e-02,-3.501064514e-01,3.319760876e-01,0.000000000e+00,-1.348544017e-01,-1.348544017e-01,0.000000000e+00,-3.858518140e-01,3.858518140e-01,0.000000000e+00,True,False
J1_A77_B140,139,75,0,4.921052632e+01,9.868421053e+00,8.000000000e-01,B,B,1.946320911e+00,7.092772058e-01,-4.109480086e-01,5.820779845e-02,2.733712798e-02,-1.411737193e-01,-3.731143066e-01,-7.258545167e-01,3.527402101e-01,5.551115123e-17,-5.142880259e-01,-5.142880259e-01,1.110223025e-16,-4.109480086e-01,4.109480086e-01,0.000000000e+00,True,False
J1_A77_B140,139,75,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,B,B,1.952111362e+00,7.806756255e-01,-4.130114240e-01,5.858642395e-02,2.733712798e-02,-1.432371347e-01,3.118098535e-03,-3.513069015e-01,3.544250000e-01,0.000000000e+00,-1.401190362e-01,-1.401190362e-01,0.000000000e+00,-4.130114240e-01,4.130114240e-01,0.000000000e+00,True,True
