r_a,r_b,L,finite,hjb_converged,hjb_statistic,kfe_mass_error,kfe_min_mass,R1,R2,R3,R1_norm,R2_norm,R3_norm,resid_inf_norm,A_hh,B_hh,L_hh,K,w,Y,T,R_resource_structural,W_taper,R_resource_faithful,R_wealth_chain,R_wealth_direct
0.0,0.0062500000000000056,1.2499999999999998,1,1,3.011459881463452e-08,1.1102230246251565e-16,-8.388754498113403e-17,-80.69588834473242,-0.6349789529891827,-0.38761821797588536,-1.0,-0.6349789529891827,-0.31009457438070837,1.0,-3.1128767185917587e-15,0.3650210470108173,0.8623817820241144,80.69588834473242,2.8691871411460426,5.603881135050862,0.5317225889648829,0.9547146356189695,0.0,0.9547146356189695,0.9547146356189704,3.9826560024642044e-16
0.0,0.0062500000000000056,1.5999999999999999,1,1,4.455390012481075e-08,4.440892098500626e-16,-2.0470938364535728e-18,-103.29073708125752,-0.7253712796058023,-0.7521399807844621,-1.0,-0.7253712796058023,-0.4700874879902888,1.0,7.336298867163496e-16,0.2746287203941977,0.8478600192155378,103.29073708125752,2.8691871411460426,7.172967852865106,0.6823549138750501,1.8444874316162942,0.0,1.8444874316162942,1.8444874316162938,-5.651065949442452e-17
0.0,0.0062500000000000056,1.95,1,1,6.868652846492296e-08,1.1102230246251565e-16,-9.48565615477709e-17,-125.8855858177826,-0.8129384634806345,-1.1160208256197464,-1.0,-0.8129384634806345,-0.5723183721126904,1.0,-3.698685980328251e-15,0.18706153651936552,0.8339791743802536,125.8855858177826,2.8691871411460426,8.742054570679349,0.8329872387852174,2.7326813197478095,0.0,2.7326813197478095,2.732681319747809,4.964865084153013e-16
0.0,0.0062500000000000056,2.3,1,1,5.166594263528168e-09,2.220446049250313e-16,-6.841270493440416e-17,-148.48043455430766,-0.8970441920035186,-1.4792979364799572,-1.0,-0.8970441920035186,-0.643173015860851,1.0,-2.302893761975464e-15,0.10295580799648138,0.8207020635200426,148.48043455430766,2.8691871411460426,10.31114128849359,0.9836195636953845,3.619381675958859,0.0,3.619381675958859,3.6193816759588584,2.9735370829209096e-16
0.0,0.0062500000000000056,2.65,1,1,5.117119172837192e-09,2.220446049250313e-16,-4.176593560340554e-18,-171.07528329083277,-0.9771754977987339,-1.8420062489333702,-1.0,-0.9771754977987339,-0.6950966977107057,1.0,1.3281009229663123e-16,0.022824502201266028,0.8079937510666297,171.07528329083277,2.8691871411460426,11.880228006307831,1.1342518886055517,4.504669261221008,0.0,4.504669261221008,4.504669261221008,1.8836886498141508e-17
0.0,0.0062500000000000056,3.0,1,1,9.422689473126411e-08,1.1102230246251565e-16,-1.0263725040145719e-16,-193.67013202735785,-1.0529792598923324,-2.2041785750013547,-1.0,-1.0529792598923324,-0.7347261916671183,1.0529792598923324,-2.9995300050507447e-15,-0.05297925989233235,0.7958214249986455,193.67013202735785,2.8691871411460426,13.449314724122072,1.284884213515719,5.3886208247830565,0.0,5.3886208247830565,5.388620824783059,3.7539223807010575e-16
0.0,0.02500000000000001,0.2,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.02500000000000001,0.55,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.02500000000000001,0.8999999999999999,1,1,1.5304632228207993e-08,1.1102230246251565e-16,-2.4711765999647343e-16,-58.10103960820736,1.6664344203639696,-0.027339613021812648,-1.0000000000000002,1.6664344203639696,-0.030377347802014055,1.6664344203639696,-4.676352697241752e-15,2.6664344203639696,0.8726603869781873,58.10103960820735,2.8691871411460426,4.034794417236622,0.36234026405471564,0.026011951480827345,0.0,0.026011951480827345,0.026011951480827123,3.417549407519959e-16
0.0,0.02500000000000001,1.2499999999999998,1,1,1.2302894702997946e-08,1.1102230246251565e-16,-3.074501103803789e-16,-80.69588834473242,1.6994500244305106,-0.39244066589664695,-1.0,1.6994500244305106,-0.3139525327173176,1.6994500244305106,-5.671051865574455e-15,2.6994500244305106,0.8575593341033528,80.69588834473242,2.8691871411460426,5.603881135050862,0.5129725889648828,0.9155309451673413,0.0,0.9155309451673413,0.9155309451673418,4.197934705300107e-16
0.0,0.02500000000000001,1.5999999999999999,1,1,1.2271197391555688e-08,1.1102230246251565e-16,-7.978445854174321e-17,-103.29073708125752,1.7343003487138162,-0.7568642646711544,-1.0,1.7343003487138162,-0.4730401654194715,1.7343003487138162,-1.435506003589395e-15,2.734300348713816,0.8431357353288454,103.29073708125752,2.8691871411460426,7.172967852865106,0.66360491387505,1.8033513874038065,0.0,1.8033513874038065,1.803351387403806,6.862008652894405e-17
0.0,0.02500000000000001,1.95,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
