rep_id,r_a,r_b,L,hjb_converged,hjb_iterations,hjb_statistic,state_count,post_operator_nnz,post_operator_data_finite,post_row_sum_min,post_row_sum_max,contaminated_row_index,contaminated_nnz,contaminated_data_finite,splu_success,splu_message,spsolve_matrix_rank_warning,spsolve_raw_finite,spsolve_raw_min,spsolve_raw_max,weak_components,strong_components,sink_strong_components,matched_finite_neighbor,neighbor_r_a,neighbor_r_b,neighbor_L,neighbor_stage,neighbor_post_operator_nnz,neighbor_post_row_sum_min,neighbor_post_row_sum_max,neighbor_kfe_success,neighbor_splu_success
0,0.0,0.02500000000000001,0.2,1,10,5.0820656127825714e-08,800,3138,1,-1.8832804700818053,1.1657341758564144e-15,295,3135,1,1,,1,0,nan,nan,1,1,1,1,0.0,0.04375000000000001,0.2,0,3131,-1.7535593517828272,1.1657341758564144e-15,1,1
1,0.015,0.0062500000000000056,0.8999999999999999,1,11,3.3183777503609235e-08,800,3146,1,-0.2928509361304316,6.661338147750939e-16,295,3143,1,1,,1,0,nan,nan,1,1,1,1,0.0,0.0062500000000000056,0.8999999999999999,0,3140,-1.8536663605749852,8.881784197001252e-16,1,0
2,0.03,0.0062500000000000056,1.5999999999999999,1,11,4.8336950442262605e-08,800,3120,1,-0.5130000000000001,4.440892098500626e-16,295,3117,1,1,,1,0,nan,nan,2,2,2,1,0.015,0.0062500000000000056,1.5999999999999999,0,3142,-0.19016411454540055,4.440892098500626e-16,1,0
3,0.045,0.08125000000000003,1.2499999999999998,1,11,1.1654577747322037e-08,800,3138,1,-1.0791991030194017,1.1657341758564144e-15,295,3134,1,0,Factor is exactly singular,1,0,nan,nan,2,2,2,1,0.03,0.08125000000000003,1.2499999999999998,0,3138,-1.2729882428730133,1.1657341758564144e-15,1,1
4,0.06,0.06250000000000001,3.0,1,11,5.771003941390518e-08,800,3139,1,-1.026,2.7755575615628914e-16,295,3136,1,0,Factor is exactly singular,1,0,nan,nan,2,2,2,1,0.06,0.06250000000000001,2.65,0,3137,-1.0260000000000005,7.216449660063518e-16,1,0
5,0.075,0.08125000000000003,0.8999999999999999,1,11,9.025632863313149e-08,800,3131,1,-1.2825000000000004,4.996003610813204e-16,295,3128,1,1,,1,0,nan,nan,2,2,2,1,0.06,0.08125000000000003,0.8999999999999999,0,3139,-1.0260000000000002,7.216449660063518e-16,1,1
6,0.09,0.06250000000000001,3.0,1,12,9.905917863761715e-09,800,3112,1,-1.5390000000000004,2.7755575615628914e-16,295,3109,1,1,,1,0,nan,nan,2,2,2,1,0.09,0.06250000000000001,2.65,0,3110,-1.5390000000000006,4.996003610813204e-16,1,1
