r_a,r_b,L,terminal_stage,terminal_stage_label,ge_finite,K,w,Y,T,init_success,init_exception_class,init_exception_message,init_warnings,init_vb_min,hjb_reached,hjb_exception_class,hjb_exception_message,hjb_converged,hjb_iterations,hjb_statistic,hjb_value_finite,hjb_consumption_finite,hjb_labor_finite,hjb_mu_a_finite,hjb_mu_b_finite,hjb_operator_nnz,hjb_operator_data_finite,hjb_row_sum_min,hjb_row_sum_max,hjb_post_operator_nnz,hjb_post_operator_data_finite,hjb_post_row_sum_min,hjb_post_row_sum_max,mu_a_min,mu_a_max,mu_b_min,mu_b_max,hjb_warnings,kfe_reached,kfe_exception_class,kfe_exception_message,kfe_contaminated_row_index,kfe_contaminated_nnz,kfe_contaminated_data_finite,kfe_raw_finite,kfe_raw_min,kfe_raw_max,kfe_normalization_factor,kfe_normalization_valid,kfe_mass_error,kfe_warnings,agg_reached,agg_exception_class,agg_exception_message,agg_finite
0.0,-0.03125,2.65,3,HJB_EXCEPTION,1,171.07528329083277,2.8691871411460426,11.880228006307831,1.1717518886055518,1,,,,-0.23956001336533458,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.03125,3.0,3,HJB_EXCEPTION,1,193.67013202735785,2.8691871411460426,13.449314724122072,1.322384213515719,1,,,,-0.21817521187387862,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,0.2,3,HJB_EXCEPTION,1,12.911342135157192,2.8691871411460426,0.8966209816081382,0.09857561423438127,1,,,,-0.19271422398857802,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,0.55,3,HJB_EXCEPTION,1,35.50619087168228,2.8691871411460426,2.4657076994223805,0.24920793914454853,1,,,,-0.17125436296471616,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,0.8999999999999999,3,HJB_EXCEPTION,1,58.10103960820735,2.8691871411460426,4.034794417236622,0.3998402640547157,1,,,,-0.15282864166498808,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,1.2499999999999998,3,HJB_EXCEPTION,1,80.69588834473242,2.8691871411460426,5.603881135050862,0.5504725889648828,1,,,,-0.13694057400634815,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,1.5999999999999999,3,HJB_EXCEPTION,1,103.29073708125752,2.8691871411460426,7.172967852865106,0.70110491387505,1,,,,-0.12318290458771637,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,1.95,3,HJB_EXCEPTION,1,125.8855858177826,2.8691871411460426,8.742054570679349,0.8517372387852173,1,,,,-0.11122064075904906,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,2.3,3,HJB_EXCEPTION,1,148.48043455430766,2.8691871411460426,10.31114128849359,1.0023695636953844,1,,,,-0.10077738556514503,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-0.012499999999999997,2.65,3,HJB_EXCEPTION,1,171.07528329083277,2.8691871411460426,11.880228006307831,1.1530018886055518,1,,,,-0.09162434047853601,0,ValueError,designated transfer FOCs require positive liquid derivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
