r_a,r_b,L,finite_before,stage_before,old_transfer_foc_guard_failure_before,finite_after,stage_after,hjb_converged_after,hjb_iterations_after,hjb_statistic_after,hjb_exception_class_after,hjb_exception_message_after,kfe_reached_after,kfe_exception_class_after,kfe_exception_message_after,agg_reached_after,agg_finite_after,kfe_mass_error_after,hjb_warnings_after,kfe_warnings_after
0.12,0.02500000000000001,0.2,0,3,1,1,FULL_FINITE,1,150,1.3985257396598172e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.02500000000000001,0.55,0,3,1,1,FULL_FINITE,1,545,3.908938950303309e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.02500000000000001,0.8999999999999999,0,3,1,1,FULL_FINITE,1,109,4.968581635012015e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.02500000000000001,1.2499999999999998,0,3,1,1,FULL_FINITE,1,346,4.377477313965983e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.02500000000000001,1.5999999999999999,0,3,1,1,FULL_FINITE,1,888,2.8106143190598232e-08,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.02500000000000001,1.95,0,3,1,1,FULL_FINITE,1,560,5.109887979415362e-08,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.02500000000000001,2.3,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.035837436296745295,,,,,,,,,,
0.12,0.02500000000000001,2.65,0,3,1,1,FULL_FINITE,1,719,3.9854057831689715e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.02500000000000001,3.0,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,91.95410330101397,,,,,,,,,,
0.12,0.04375000000000001,0.2,0,3,1,1,FULL_FINITE,1,113,4.903029093838995e-10,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.04375000000000001,0.55,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.022995761901769995,,,,,,,,,,
0.12,0.04375000000000001,0.8999999999999999,0,3,1,1,FULL_FINITE,1,340,5.130118552187923e-10,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.04375000000000001,1.2499999999999998,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.030166801589674774,,,,,,,,,,
